firstName,lastName,prefix,suffix,alternateSpellings,sourceNames,roles
Hannah,Dobson,,,,Hannah Dobson,deed
Joseph,Dobson,,,,Joseph Dobson,deed
John,Dorsey,,,,John Dorsey,deed
John,Dougherty,,,,John Dougherty,deed
Andrew,Douglas,,,,Andrew Douglas,deed|neighbor
Thomas,Dowling,,,,Thomas Dowling,neighbor
George,Downing,,,,George Downing,deed
Sarah,Downing,,,,Sarah Downing,deed
Thomas,Downing,,,,Thomas Downing,deed
Abigail,Dreer,,,,Abigail Dreer,deed
Ferdinand,Dreer,,,,Ferdinand Dreer,deed
David,Drissle,,,,David Drissle,neighbor
Annie,Dunlap,,,,Annie Dunlap,deed
Ephraim,Dunlap,,,,Ephraim Dunlap,deed
Daniel,Dunmore,,,,Daniel Dunmore,deed
Samuel,Dunmore,,,,Samuel Dunmore,deed
Andrew,Dunn,,,,Andrew Dunn,deed
John,Dunn,,,,John Dunn,deed
Mrs,Dunn,,,,Mrs Dunn,deed
Martha,Durant,,,,Martha Durant,patent
Alexander,Eakins,,,,Alexander Eakins,deed
Benjamin,Eakins,,,,Benjamin Eakins,deed
John,Edward,,,,John Edward,neighbor
Thomas,Edwards,,,,Thomas Edwards,deed
Jane,Eldridge,,,,Jane Eldridge,deed
Job,Eldridge,,,,Job Eldridge,deed
Joseph,Eldridge,,,,Joseph Eldridge,deed
Mary,Eldridge,,,,Mary Eldridge,deed
William M.,Eldridge,,,,William M. Eldridge,deed
George,Elliot,,,,George Elliot,deed
John,Elliot,,,,John Elliot,deed
Peter,Elliot,,,,Peter Elliot,deed
Sarah,Elliot,,,,Sarah Elliot,deed
D.,Ellis,,,,D. Ellis,deed
Sophia,Ellis,,,,Sophia Ellis,deed
Joseph,Ely,,,,Joseph Ely,deed
Maggie,Ely,,,,Maggie Ely,deed
David,Emanuel,,,,David Emanuel,deed|patent|quit rent
Abigail,Emery,,,,Abigail Emery,deed
Catherine,Emery,,,Catharine Emery,Catharine Emery,deed
George,Emery,,,,George Emery,deed
Jacob,Emery,,,,Jacob Emery,deed
Lewis,Emery,,,,Lewis Emery,deed
Ludwick,Emery,,,,Ludwick Emery,neighbor
Mary Ann,Emery,,,,Mary Ann Emery,deed
George,Emlen,,,,George Emlen,deed
Joshua,Emlen,,,,Joshua Emlen,deed|patent
Samuel,Emlen,,,,Samuel Emlen,deed
Jacob,Emrey,,,,Jacob Emrey,neighbor
Susanna,Emrey,,,,Susanna Emrey,deed
